movie_title,imdb_score
Saving Grace            ,7.5
Sleep Tight,7.2
Psych            ,8.4
Rudderless,7.5
Running Forever,8.6
I Served the King of England,7.4
Soul Kitchen,7.3
Sling Blade,8.0
Take Shelter,7.4
Pat Garrett & Billy the Kid,7.4
Barfi,7.1
Dear Frankie,7.8
The Names of Love,7.2
Out of the Blue,7.3
Four Weddings and a Funeral,7.1
Fast Times at Ridgemont High,7.2
Moby Dick,7.4
25th Hour,7.7
Secrets and Lies            ,7.7
Bound,7.4
Requiem for a Dream,8.4
State Fair,7.1
Tango,7.2
Salvador,7.5
Donnie Darko,8.1
Character,7.8
Lady Vengeance,7.7
Exiled,7.3
Lilya 4-Ever,7.9
One Flew Over the Cuckoo's Nest,8.7
Airlift,8.5
Anne of Green Gables            ,8.4
Sexy Beast,7.3
Whale Rider,7.6
Paa,7.2
Animal Kingdom            ,8.1
Love and Death on Long Island,7.1
The Crying Game,7.3
Night of the Living Dead,8.0
Lost in Translation,7.8
Annie Hall,8.1
Monster's Ball,7.1
Leaving Las Vegas,7.6
The Return of the Living Dead,7.3
The Front Page,7.3
Saving Grace            ,7.5
The Kids Are All Right,7.1
They Live,7.3
The Great Escape,8.3
Boyhood,8.0
The Misfits,7.4
The Orphanage,7.5
Secretary,7.1
Talk Radio,7.3
Waiting for Guffman,7.6
Samsara,8.5
Holy Motors,7.1
"Buen Día, Ramón",7.7
Mondays in the Sun,7.7
The Geographer Drank His Globe Away,7.5
1776,7.6
Hell's Angels,7.8
A Man for All Seasons,7.9
Network,8.1
Gone with the Wind,8.2
Down for Life,7.3
Four Lions,7.3
House of Sand,7.5
The Pirate,7.1
M*A*S*H            ,8.4
Midnight Cowboy,7.9
The Full Monty,7.2
Airplane!,7.8
Friday,7.3
Menace II Society,7.5
Empire            ,7.8
The Ballad of Cable Hogue,7.3
In Cold Blood,8.0
The Nun's Story,7.6
Frenzy,7.5
Gods and Monsters,7.5
The Secret in Their Eyes,8.2
Day of the Dead,7.2
Evil Dead II,7.8
The Secret            ,7.3
"Batman: The Dark Knight Returns, Part 2",8.4
March of the Penguins,7.6
Margin Call,7.1
Whiplash,8.5
City of God,8.7
Human Traffic,7.1
The Hunt,8.3
A Christmas Story,8.1
Bella,7.4
The Class,7.5
Rosemary's Baby,8.0
The Man Who Shot Liberty Valance,8.1
Adam,7.2
Maria Full of Grace,7.5
Beginners,7.2
Animal House,7.6
Goldfinger,7.8
It's a Wonderful Life,8.6
Trainspotting,8.2
Waking Ned Devine,7.4
Bowling for Columbine,8.0
Coming Home,7.3
A Room with a View,7.4
Cat on a Hot Tin Roof,8.1
The Bridge on the River Kwai,8.2
The Apartment,8.3
Dave Chappelle's Block Party,7.2
Elmer Gantry,7.9
Judgment at Nuremberg,8.3
Robot Chicken            ,7.8
Red River,7.8
Before Midnight,7.9
Deadline Gallipoli            ,7.4
Water,7.8
Willy Wonka & the Chocolate Factory,7.8
Days of Heaven,8.0
Thirteen Conversations About One Thing,7.1
Frances Ha,7.4
Tsotsi,7.3
Happiness,7.8
Oldboy,8.4
Love's Abiding Joy,7.2
Fish Tank,7.3
BrainDead            ,7.9
The Grand            ,7.6
Summer Storm,7.4
Point Blank,7.4
Central Station,8.0
Pocketful of Miracles,7.3
The Omen,7.6
Hustle & Flow,7.4
Some Like It Hot,8.3
The Wizard of Oz,8.1
Young Frankenstein,8.0
Lage Raho Munna Bhai,8.2
Ulee's Gold,7.1
The Black Stallion,7.4
Blazing Saddles,7.8
Ida,7.4
Maurice,7.8
Riding Giants,7.9
Timecrimes,7.2
Silver Medallist,7.4
Singin' in the Rain,8.3
"Fat, Sick & Nearly Dead",7.6
Hud,7.9
My Own Private Idaho,7.1
Garden State,7.6
Before Sunrise,8.1
Saving Face,7.6
Robot & Frank,7.1
My Life Without Me,7.6
The Spectacular Now,7.1
Marilyn Hotchkiss' Ballroom Dancing and Charm School,7.1
Religulous,7.7
Fuel,7.6
8: The Mormon Proposition,7.1
This Is England,7.7
The Brave Little Toaster,7.3
Fantasia,7.8
The French Connection,7.8
The Valley of Decision,7.5
The Best Years of Our Lives,8.1
Elling,7.6
Mi America,7.2
[Rec],7.5
From Russia with Love,7.5
In the Heat of the Night            ,7.4
Sleeper,7.3
To Kill a Mockingbird,8.4
Mad Max 2: The Road Warrior,7.6
The Legend of Drunken Master,7.6
Lolita,7.7
Boys Don't Cry,7.6
The Lives of Others,8.5
The Hustler,8.0
Boom Town,7.1
The Triplets of Belleville,7.8
Smoke Signals,7.2
American Splendor,7.5
Before Sunset,8.0
Amores Perros,8.1
Gentleman's Agreement,7.4
Winter's Bone,7.2
Touching the Void,8.1
Me and You and Everyone We Know,7.4
Inside Job,8.3
Ghost Dog: The Way of the Samurai,7.5
Strangers with Candy            ,8.1
Hamlet,7.8
Waltz with Bashir,8.0
No End in Sight,8.3
Get Real            ,7.3
In the Shadow of the Moon,8.1
Dinner Rush,7.3
It's All Gone Pete Tong,7.4
24 7: Twenty Four Seven,7.1
Eureka            ,7.9
Gangster's Paradise: Jerusalema,7.8
"To Be Frank, Sinatra at 100",7.4
Bananas,7.1
Wings            ,7.3
The Lady from Shanghai,7.7
River's Edge,7.1
Submarine,7.3
The Square,8.1
A Nightmare on Elm Street,7.5
Man on Wire,7.8
Brotherly Love,7.2
Nowhere Boy,7.2
A Streetcar Named Desire,8.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.5
Beasts of the Southern Wild,7.3
Songcatcher,7.3
Travelers and Magicians,7.5
Deadline - U.S.A.,7.2
A Beginner's Guide to Snuff,8.7
Run Lola Run,7.8
Under the Same Moon,7.4
In the Bedroom,7.5
The Lunchbox,7.8
You Can't Take It with You,8.0
From Here to Eternity,7.8
She Wore a Yellow Ribbon,7.4
Caramel,7.2
The Bubble,7.3
The Conversation,7.9
Mississippi Mermaid,7.2
Dawn of the Dead,7.4
Waitress,7.1
Mr. Smith Goes to Washington,8.2
The Squid and the Whale,7.4
Kickboxer: Vengeance,9.1
Spellbound,7.6
Exotica,7.2
Buffalo '66,7.5
Nine Queens,7.9
The Gatekeepers,7.6
The Believer,7.2
Modern Times,8.6
Me You and Five Bucks,7.6
Closer to the Moon,7.1
Growing Up Smith,8.2
Snow White and the Seven Dwarfs,7.7
"Lock, Stock and Two Smoking Barrels",8.2
The Ballad of Gregorio Cortez,7.1
The Streets of San Francisco            ,7.3
The Celebration,8.1
Trees Lounge,7.2
Journey from the Fall,7.4
Space: Above and Beyond            ,7.7
Queen of the Mountains,8.7
Rebecca,8.2
The Lost Weekend,8.0
Niagara,7.1
How Green Was My Valley,7.8
The Girlfriend Experience            ,7.3
"Sex, Lies, and Videotape",7.2
Saw,7.7
Super Troopers,7.1
The Algerian,7.6
Monsoon Wedding,7.4
You Can Count on Me,7.7
The Trouble with Harry,7.2
Lucky Number Slevin,7.8
Reservoir Dogs,8.4
"The Good, the Bad and the Ugly",8.9
The Second Mother,7.9
"Pink Ribbons, Inc.",7.4
The Knife of Don Juan,7.2
The Charge of the Light Brigade,7.1
Dead Man's Shoes,7.7
Wolf Creek            ,7.1
The Raid: Redemption,7.6
Casablanca,8.6
Rocket Singh: Salesman of the Year,7.5
Rocky,8.1
Taxi Driver,8.3
Dr. No,7.3
Blue Valentine,7.4
Transamerica,7.4
An Inconvenient Truth,7.5
Sands of Iwo Jima,7.2
Shine a Light,7.2
The Sessions,7.2
"Food, Inc.",7.9
Juno,7.5
Frozen River,7.2
20 Feet from Stardom,7.4
The Full Monty,7.2
Who Killed the Electric Car?,7.7
Bubba Ho-Tep,7.2
Slam,7.2
Brigham City,7.2
Ajami,7.4
Wristcutters: A Love Story,7.4
I Origins,7.3
The Act of Killing,8.2
Taxi to the Dark Side,7.7
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,7.3
Guiana 1838,7.4
Antarctica: A Year on Ice,7.6
The Party's Over,7.3
Hidden Away,7.2
Charly,7.1
Food Chains,7.1
On the Waterfront,8.2
"4 Months, 3 Weeks and 2 Days",7.9
The Horror Network Vol. 1,7.3
Hard Candy,7.1
Fruitvale Station,7.5
Bambi,7.4
The Hammer,7.3
Latter Days,7.2
1982,7.1
A Separation,8.4
Welcome to the Dollhouse,7.5
Ruby in Paradise,7.2
Raising Victor Vargas,7.2
Pandora's Box,8.0
Harrison Montgomery,7.4
Live-In Maid,7.2
The Mudge Boy,7.2
American Graffiti,7.5
Iraq for Sale: The War Profiteers,7.7
Kevin Hart: Laugh at My Pain,7.5
The Conformist,8.1
High Noon,8.1
Hoop Dreams,8.3
Rize,7.1
Destiny,8.1
L.I.E.,7.2
King Kong,7.2
Half Nelson,7.2
Starsuckers,7.4
The Hadza: Last of the First,7.4
Top Hat,7.8
Woodstock,8.1
They Will Have to Kill Us First,7.7
Light from the Darkroom,8.0
Irreplaceable,7.2
A Hard Day's Night,7.7
The Harvest/La Cosecha,7.2
Mad Hot Ballroom,7.5
The Station Agent,7.7
To Save a Life,7.1
Wordplay,7.4
Beyond the Mat,7.6
Osama,7.4
Twin Falls Idaho,7.3
Mean Creek,7.3
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,7.1
Seven Samurai,8.7
The Other Dream Team,8.4
Crazy Stone,7.7
Scott Walker: 30 Century Man,7.3
The Outrageous Sophie Tucker,7.2
Now Is Good,7.2
America Is Still the Place,7.5
Alleluia! The Devil's Carnival,7.4
The Sound and the Shadow,8.3
Bloody Sunday,7.7
Conversations with Other Women,7.1
42nd Street,7.7
Rise of the Entrepreneur: The Search for a Better Way,8.2
Metropolitan,7.5
As It Is in Heaven,7.6
Blue Ruin,7.1
Dogtown and Z-Boys,7.7
Monty Python and the Holy Grail,8.3
Quinceañera,7.1
Heroes            ,7.7
Tarnation,7.2
Home Movies            ,8.2
Cries & Whispers,8.2
Intolerance: Love's Struggle Throughout the Ages,8.0
The Evil Dead,7.6
Censored Voices,7.2
Murderball,7.8
51 Birch Street,7.5
Halloween,7.9
12 Angry Men,8.9
It Happened One Night,8.2
Dogtooth,7.3
Tupac: Resurrection,8.0
Pieces of April,7.1
Wendy and Lucy,7.1
Pierrot le Fou,7.7
Sisters in Law,7.5
Ayurveda: Art of Being,7.6
Nothing But a Man,8.1
Across the Universe,7.4
Anderson's Cross,7.2
Chasing Amy,7.3
Better Luck Tomorrow,7.2
Cube,7.3
Happy Valley            ,8.5
Shotgun Stories,7.3
UnDivided,7.8
The Love Letter,7.4
Give Me Shelter,8.0
The Big Parade,8.3
Along the Roadside,7.1
Bronson,7.1
Burn,7.5
"20,000 Leagues Under the Sea",7.2
Swingers,7.4
A Fistful of Dollars,8.0
Short Cut to Nirvana: Kumbh Mela,7.2
Call + Response,7.5
Side Effects,7.1
The Case of the Grinning Cat,7.4
Ordet,8.1
The Man from Earth,8.0
The Trials of Darryl Hunt,7.7
An American Girl Holiday,7.2
Archaeology of a Woman,8.1
Children of Heaven,8.5
Weekend,7.7
Butterfly Girl,8.7
Once,7.9
The Woman Chaser,7.3
The Horse Boy,7.4
Heroes of Dirt,7.1
The Texas Chain Saw Massacre,7.5
A Charlie Brown Christmas,8.4
Top Spin,7.1
Roger & Me,7.5
An American in Hollywood,7.2
The Brain That Sings,8.2
Night of the Living Dead,8.0
Une Femme Mariée,7.4
Eraserhead,7.4
The Mighty,7.3
Indie Game: The Movie,7.7
Open Secret,7.1
The Past is a Grotesque Animal,7.6
"Peace, Propaganda & the Promised Land",8.3
Pi,7.5
Super Size Me,7.3
The Call of Cthulhu,7.3
Bending Steel,7.9
The Image Revolution,7.4
George Washington,7.5
Smiling Fish & Goat on Fire,7.6
The Last Waltz,8.2
Clerks,7.8
In the Company of Men,7.3
Slacker,7.1
Stories of Our Lives,7.4
The Circle,7.5
The Cure,7.4
The Mongol King,7.8
Signed Sealed Delivered,7.7
The Following            ,7.5
